page_title,date,page_views,internal_links_count,revisions_count,page_size,time_since_creation
"""Browser toolbar""",20230103,28,35,102,17529,6450
"""St. Anna im Lehel""",20230830,1,12,40,2389,5111
"""Hwangju Riverside Stadium""",20230913,2,8,14,1552,5833
"""Adolph D. E. Elmer""",20230324,51,52,50,10696,5514
"""Collinpark Wood SSSI""",20230328,1,143,27,7368,4523
"""Yongjugol""",20230331,10,32,41,8883,4163
"""Ravinder Kumar (politician)""",20230310,3,28,114,5114,2512
"""The Rising (TV series)""",20230321,142,220,93,12452,933
"""Matias Vainionpää""",20230211,4,37,27,2433,1395
"""Craig McGuffie""",20230412,7,59,123,11594,2814
"""Hewett, Wisconsin""",20230606,1,101,60,5265,8055
"""Have You Met Hank Jones""",20231130,3,312,12,2895,3394
"""Saint-Nicolas-la-Chapelle""",20230225,1,2,14,231,7265
"""Straight Shooter""",20230902,6,6,11,687,5011
"""Talk It Over in the Morning (song)""",20230222,7,123,12,1989,4984
"""The Muthers""",20230131,18,44,45,2994,3814
"""Balderhead Reservoir""",20231106,4,35,80,8445,6363
"""Digital paper""",20230616,26,139,226,5108,7129
"""1946 Virginia Cavaliers football team""",20230718,1,190,32,8215,2340
"""Pause Giant AI Experiments: An Open Letter""",20230626,32,94,25,12985,580
"""Wiley Griggs""",20230910,3,15,13,2752,1516
"""Ivan Baglayev""",20230403,2,12,19,1949,2351
"""List of Singaporean records in Olympic weightlifting""",20230807,3,179,23,9113,1652
"""Menzies Art Brands""",20230220,5,16,20,6106,3387
"""Binham Priory""",20231201,9,276,93,7667,6732
"""Tim O'Brien (Connecticut politician)""",20230608,5,166,70,2559,6701
"""Yawuru language""",20231229,12,271,53,4911,4786
"""Oberhavel""",20230813,33,74,103,5133,7993
"""Lorraine Murray""",20230906,4,9,96,5126,6362
"""Maramarua (New Zealand electorate)""",20230916,5,262,32,3537,5797
"""Time Bomb (Demolition Hammer album)""",20230421,13,17,25,3298,3161
"""Sagwitch""",20230812,8,60,92,15784,6042
"""1884–85 in Scottish football""",20230801,5,238,23,4589,3567
"""Centre for the Book""",20231126,21,19,22,5365,2299
"""Laona""",20230409,3,7,10,354,6723
"""Cuban Liberal Union""",20230414,19,298,93,1950,7421
"""Mavi-ye Olya""",20231231,1,255,4,1885,4439
"""Optical projection tomography""",20230209,11,19,44,5047,5550
"""Jason Gervais""",20230906,2,8,10,1518,2495
