page_title,page_views,back_links_count,page_size (bytes)
"""1905–06 Oregon Agricultural Aggies men's basketball team""",3,61,3190
"""Joint Operations Command (Zimbabwe)""",9,61,4927
"""Byszew""",1,60,1377
"""Hayate the Combat Butler! Heaven Is a Place on Earth""",14,60,4118
"""Campbell's law""",179,60,8170
"""Mirhajj""",3,59,1665
"""Hyper Shahr Shahin Shahr FSC""",2,59,2481
"""Copake (CDP), New York""",1,59,6392
"""Afghan cricket team against Pakistan in the UAE in 2011–12""",4,59,21664
"""Anissa Lahmari""",18,59,14352
"""Smajlovići""",2,59,3035
"""Centre for Analysis of Strategies and Technologies""",8,58,15017
"""Ziddi (1997 film)""",167,58,10203
"""Czarne Wielkie""",3,58,2041
"""The Wilhelm Scream""",39,58,4767
"""John Ford bibliography""",3,58,1153
"""2001 Viennese state election""",3,57,16439
"""1987–88 Clemson Tigers women's basketball team""",1,57,11478
"""Walter Tenney Carleton""",10,57,5052
"""North Carolina Highway 75""",4,57,8173
"""Paulino de la Fuente""",22,57,8746
"""Philip T. Chicola""",3,57,3891
"""Blue Saxophone""",3,57,2948
"""D. I. Suchianu""",12,57,63932
"""Table tennis at the 2018 Mediterranean Games""",6,56,3274
"""Live at Benaroya Hall with the Seattle Symphony""",9,56,24597
"""Rafael Joseffy""",4,56,4266
"""Artsiom Zaitsau""",1,56,2139
"""Alexander Logan""",1,56,2363
"""Political finance""",25,56,25077
"""Meloinae""",4,55,2961
"""Biniątki""",2,55,1436
"""RAAF Command""",4,55,17109
"""Shō Sei (r. 1803)""",3,55,1608
"""Ornithoptera aesacus""",5,55,5082
"""Bağlıca, Ardanuç""",1,55,1072
"""ALF's Hit Talk Show""",33,55,4973
"""A Summer by the River""",8,54,3299
"""Paul Corbould""",6,54,12565
"""Arizona Southern Baptist Convention""",5,54,5204
"""Casa Amarilla""",4,54,9080
"""Athletics at the 2011 Pan American Games – Women's 3000 metres steeplechase""",2,54,4904
"""Scott Parse""",5,54,9049
"""Lucky Starr and the Oceans of Venus""",16,54,9956
"""William Stanford Davis""",112,54,21680
"""She Couldn't Say No (1939 film)""",7,54,2604
"""USS Lassen (AE-3)""",5,54,11350
"""Tsiombe District""",2,54,659
"""Köln-Nippes station""",7,53,3859
"""Grzebienie""",1,53,2886
"""Rokel River""",24,53,11803
"""Endowed Schools Act 1869""",11,53,8465
"""Selckë""",2,53,10195
"""Sandro Petraglia""",20,53,10220
"""Mountain Creek Lake Bridge""",7,53,1834
"""Gmina Krzęcin""",1,53,3006
"""Judkins shogi""",6,53,29558
"""Plymouth Expresso""",10,53,1306
"""Tenmile, Coos County, Oregon""",3,53,3445
"""Bertram Bracken""",4,53,6041
"""Reed Holdaway""",5,52,3453
"""Tristin Mays""",330,52,6325
"""Incidence""",7,52,1575
"""Nossa Senhora do Rosário (Ribeira Grande)""",1,52,1588
"""Don Thompson Awards""",1,52,12165
"""Scot Brantley""",10,51,14405
"""1987–88 Yale Bulldogs men's basketball team""",30,51,20281
"""Panicum repens""",59,51,8200
"""Collage (Ratt album)""",35,51,4402
"""Death Note: New Generation""",95,51,7268
"""Nikephoros the Monk""",9,51,2577
"""American Musical Instrument Society""",3,51,4671
"""Uzovské Pekľany""",2,50,905
"""La Semiramide riconosciuta""",2,50,864
"""Geoffrey Cather""",16,50,6921
"""Gluconasturtiin""",5,50,6674
"""Gmina Sypniewo""",2,50,3343
"""Alex Karalexis""",24,50,13118
"""The End (The Goodies)""",4,50,5705
"""2020–21 UMBC Retrievers men's basketball team""",8,50,13733
"""Limaria hians""",5,50,4264
"""SERPINB8""",2,49,4323
"""Petrișor Petrescu""",5,49,2791
"""Ford Models Supermodel of the World""",58,49,5030
"""Room (Nels Cline and Julian Lage album)""",20,49,4784
"""Béatrice (opera)""",1,49,9344
"""2020–21 Boston University Terriers men's basketball team""",7,49,14139
"""Kisiołki""",1,48,1395
"""List of ship decommissionings in 1982""",11,48,3371
"""List of Magic Knight Rayearth characters""",57,48,44170
"""Chris Thurmond""",17,48,8915
"""2021 U-20 Africa Cup of Nations squads""",7,48,60976
"""Highfield House Condominium""",21,48,4689
"""Brian J. O'Neill""",37,48,3838
"""Sakuntala (Claudel)""",45,48,12559
"""Half Past Forever (Till I'm Blue in the Heart)""",2,48,2295
"""Pain de seigle valaisan""",6,48,1365
"""Quartered Safe Out Here""",9,48,2967
"""UAAP Season 86 volleyball tournaments""",108,48,98371
"""Alcatraz Library""",8,48,3966
"""2021–22 Buriram United F.C. season""",12,48,63429
"""Genderism""",7,48,691
"""1990 AFL reserves season""",1,47,6773
"""North Hurley, New Mexico""",4,47,4007
"""Robin Coste Lewis""",20,47,14691
"""Lovewell State Park""",1,47,2783
"""Ayzar Akmatov""",16,47,6140
"""Beatmania IIDX 6th Style""",8,47,4143
"""Latin Quarter (1929 film)""",2,47,2273
"""Lampkowo""",1,46,1635
"""Pattersonville, Ohio""",4,45,1904
"""2024 UEC European Track Championships – Women's sprint""",60,45,11129
"""Trimline telephone""",39,45,12397
"""Tyler Johnson (baseball, born 1995)""",10,45,7476
"""Gesine Bullock-Prado""",737,45,5619
"""Łazek""",3,45,1270
"""Missouri Route 763""",2,45,4577
"""Leonard Salzedo""",6,44,9846
"""Anthony Muirhead""",8,44,7963
"""List of marathon races""",13,44,489
"""Sameer Wankhede""",537,44,16012
"""East View High School (Georgetown, Texas)""",12,44,3500
"""Operation Outflank""",6,44,1446
"""Roman Catholic Diocese of Araçuaí""",5,44,4250
"""I Caught Fire""",6,44,2819
"""Fritz Geißler""",5,44,4097
"""Red Arrow (PRR train)""",12,44,4913
"""Clay Township, Atchison County, Missouri""",1,44,5033
"""Shooting at the 2023 European Games – Men's 25 metre rapid fire pistol""",1,44,11102
"""No Tomorrow (How I Met Your Mother)""",22,43,5714
"""Kosmos 1792""",5,43,4163
"""Hillcrest Grammar School""",10,43,7836
"""Todd Kessler""",39,43,14981
"""Autry Beamon""",13,43,6230
"""M-Cresol""",95,43,8798
"""Martin Selmayr""",29,43,13685
"""Lambertus Johannes Toxopeus""",3,42,2242
"""Chadian literature""",9,42,1612
"""Thessaloniki Suburban Railway""",15,42,28742
"""1942 Creighton Bluejays football team""",6,42,7716
"""Cameron Shepherd""",5,42,6065
"""Leslie B. McLemore""",15,42,11331
"""Ignacio Jeraldino""",8,42,6864
"""Jack Landau (director)""",6,42,8839
"""Genesis GV70""",170,42,12189
"""Royal Gazette (Thailand)""",26,42,21623
"""Brownsboro, Caldwell County, Texas""",4,42,2640
"""Hohentengen""",7,42,2091
"""St. Olav's University Hospital""",7,42,4025
"""Poniatów, Piotrków County""",1,41,1508
"""4th North Midland Brigade, Royal Field Artillery""",10,41,70245
"""Norway's Resistance Museum""",13,41,4056
"""1534 in literature""",10,41,2848
"""August 2015 Egypt bombings""",5,41,3639
"""Leonid Lukov""",10,41,3768
"""Short Sharp Shock (film)""",15,41,5651
"""Kitty Horrorshow""",81,41,24570
"""Legendary Fighter: Yang's Heroine""",7,41,5779
"""Yevhen Shcherban""",16,41,12008
"""George Young (saxophonist)""",8,40,6449
"""Gmina Mietków""",7,40,3204
"""Action of 26 July 1806""",12,40,13176
"""Tristar and Red Sector Incorporated""",21,40,5465
"""Daniel Williams (Mississippi politician)""",4,40,2506
"""Pair-house""",3,40,15176
"""Charles Cuff""",4,40,1942
"""Patrick Partosa""",89,40,1579
"""Boxing at the 1998 Asian Games – Men's 57 kg""",1,40,5319
"""WLML-FM""",7,39,2307
"""Bullet-shooting crossbow""",62,39,7330
"""Manuel Díez-Alegría""",4,39,10645
"""Sean Brewer""",7,39,12265
"""Jordan Peters""",8,38,6847
"""Miechowice Duże""",1,38,1364
"""1932 Staten Island Stapletons season""",2,38,4611
"""Mer's Lips""",2,38,2252
"""HNLMS Callenburgh (F808)""",5,38,11238
"""1970 in Estonian television""",2,38,884
"""OpenProj""",20,38,8815
"""OpenSL ES""",18,38,6503
"""R51 (South Africa)""",3,38,5791
"""O Fortuna (album)""",3,38,3556
"""Villa Estrella""",21,38,8945
"""Atatürk Spor Salonu (Tram İzmir)""",3,38,1959
"""Weightlifting at the 2011 Pan American Games – Women's 75 kg""",3,38,4012
"""Luisa Tamanitoakula""",9,38,4541
"""Ramprasad Ki Tehrvi""",187,38,14035
"""Kerry Ketter""",6,37,5363
"""Yu Juemin""",3,37,1404
"""Eochaid""",20,37,3727
"""Feliksin, Masovian Voivodeship""",1,37,1475
"""Dębiny, Sępólno County""",5,37,1519
"""The Quantum Enigma""",42,37,22886
"""David Horspool""",8,37,2510
"""2021 Red Bull MotoGP Rookies Cup""",22,37,24637
"""Boris Aronov""",4,37,1657
"""Shahram Goudarzi""",5,37,5444
"""Howard J. Rubenstein""",18,37,9863
"""Torsion group""",57,37,4722
"""Robin Tenney""",1,37,3905
"""Waitemata (ship)""",5,36,5509
"""Jeff Pico""",19,36,9702
"""Magnificent catshark""",4,36,5545
"""Kathleen Lidderdale""",2,36,5805
"""Durga Mohan Das""",12,36,2911
"""Key signing party""",27,36,3213
"""Dança dos Famosos season 10""",8,36,27598
"""Siskiyou (band)""",7,36,4348
"""John Toal (Gaelic footballer)""",81,36,3477
"""Kotipa""",3,36,4384
"""Paul Moller""",20,36,9848
"""Skupie, Siedlce County""",2,36,1471
"""Belden, Nebraska""",6,36,8326
"""Alexander Christovão""",8,36,8183
"""Dover, North Carolina""",16,36,6608
"""Myles Gal""",4,35,2679
"""Tea with pine nuts""",16,35,1319
"""Philip Henningsson""",2,35,2424
"""Majdan Ostrowski""",1,35,1469
"""Knife (novel)""",24,35,4051
"""Volland, Kansas""",5,35,1566
"""Azrudin Valentić""",10,35,8023
"""John Trengove (director)""",100,35,5148
"""Lydie Denier""",40,35,6006
"""Julian Stockwin""",27,35,13922
"""The Head of the Family (1967 film)""",6,35,3819
"""The Gap Band (1979 album)""",36,35,3524
"""ISO/IEC JTC 1/SC 17""",0,35,12562
"""2014–15 Hapoel Tel Aviv F.C. season""",2,35,20391
"""Anbe Un Vasam""",13,35,8251
"""Sullivan Central High School""",1,35,5143
"""Ainārs Ķiksis""",4,35,1876
"""Stawinoga""",1,34,1474
"""Makrani (caste)""",33,34,6123
"""Lagena""",1,34,290
"""Sovereign Grant Act 2011""",72,34,18178
"""Rokosowo, West Pomeranian Voivodeship""",2,34,1737
"""1943 Swedish Ice Hockey Championship""",1,34,1688
"""Tommy Burks""",77,34,5010
"""New York State Route 272""",4,34,8308
"""Revelashen""",9,34,4549
"""Manu Narayan""",30,34,18984
"""Gruszczyn, Greater Poland Voivodeship""",4,34,1522
"""Sternberg""",12,34,1267
"""November 1882 geomagnetic storm""",21,33,9178
"""The Empress of Dreams""",7,33,3149
"""Breakers (1996 video game)""",69,33,21627
"""Bestiario""",20,33,3197
"""Juliusz Zarębski""",7,33,7912
"""Čakova""",2,33,4415
"""The Sunshine Company""",24,33,6019
"""HMS Shannon (1757)""",7,33,6708
"""Simcox Cup""",46,33,4985
"""Chesley V. Morton""",9,33,17357
"""Antoneuca""",3,33,2189
"""Dilly (song)""",6,33,4669
"""Glendower Street, Monmouth""",8,33,30800
"""Kokhlatskoye""",1,33,2591
"""Anshunsaurus""",7,32,7563
"""Hattendorf Prize""",8,32,6561
"""Padmavati""",4,32,1608
"""Ready, Kentucky""",1,32,1098
"""Markus Büchel cabinet""",52,32,6740
"""Bing Health""",15,32,5015
"""Köprübaşı, Manisa""",9,32,3614
"""Transverse cervical nerve""",18,32,2624
"""Elise Finch""",55,32,6624
"""Wave (T-Square album)""",5,32,2580
"""Cestrum parqui""",26,32,10290
"""Lurgan Subdivision""",5,32,3414
"""Hyperphosphatasia with mental retardation syndrome""",10,31,6784
"""2010–11 AEL Kalloni F.C. season""",2,31,5178
"""Second Chances (American TV series)""",20,31,6739
"""Lee Moore (politician)""",2,31,4675
"""Diving at the 2010 Commonwealth Games – Men's synchronised 3 metre springboard""",3,31,2673
"""CHBB-FM""",4,31,2526
"""Breg, Žirovnica""",2,31,6282
"""Bearded bellbird""",15,31,7628
"""Home (Steve Swallow album)""",8,31,2798
"""CILS-FM""",8,31,2601
"""Mathias Trettenes""",5,31,8505
"""Skandinavisk Dyrepark""",4,31,3541
"""Pranas Mašiotas""",7,31,27274
"""Madeleine de Choiseul""",1,30,2908
"""Baloise Session""",57,30,6942
"""Deborah Hyde""",20,30,21500
"""List of albums containing a hidden track: E""",7,30,8309
"""Watkins 29""",1,30,9502
"""Arizona Fourth Amendment Protection Act""",7,30,8267
"""Maurice Renaud""",7,30,9099
"""Kajew, Greater Poland Voivodeship""",1,30,1555
"""Mamadou Coulibaly (footballer, born 1980)""",2,30,3892
"""Zbory""",1,30,1494
"""Walnut Street Prison""",63,30,8022
"""Wenceslaus II of Legnica""",7,30,9366
"""Jan and Herb Conn""",18,30,36398
"""Puerta de Hierro, el exilio de Perón""",3,30,6048
"""Michael Ranneberger""",21,30,5691
"""Clive Loader""",8,30,16303
"""Frank Mountford""",8,29,4769
"""Pete""",24,29,2438
"""Gabriele Mulazzi""",7,29,7783
"""Texas State Teachers Association""",4,29,1994
"""16–25 Railcard""",27,29,26333
"""Irreligion in Brazil""",31,29,12852
"""John Easdale""",49,29,1407
"""2017 Open de Limoges""",4,29,3602
"""Jack Paff""",1,29,3786
"""Hasora""",5,29,5626
"""Glyceric acid""",35,29,4070
"""James Nyx Jr.""",5,29,4525
"""WELL""",6,29,429
"""Perniagaan (newspaper)""",3,29,8361
"""Michael Welsh (Labour politician)""",6,29,7296
"""Big Nick Nicholas""",9,29,4254
"""Hideo Kodama""",25,29,5490
"""Eferi""",2,29,3495
"""Tom Penny""",76,29,23318
"""Parson's Pleasure (short story)""",68,29,3914
"""Niecki, Łódź Voivodeship""",1,29,1513
"""HMS Sparrow (1889)""",7,28,10556
"""Elks National Home""",15,28,6384
"""Stanisław Baranowski""",2,28,3754
"""Office of the Institutions of Empress Maria""",11,28,4212
"""Evangelical Christian Church of the Brethren""",2,28,2338
"""Purnawarman""",29,28,4695
"""The Weatherman LP""",32,28,11738
"""Licchavi""",1,28,297
"""Thomas Trevor (1586–1656)""",6,28,5213
"""Audley H. Ward""",1,28,3171
"""4th Parliament of Upper Canada""",2,28,4416
"""Deindustrialisation by country""",61,28,44671
"""William Leonard Higgitt""",1,28,66043
"""Michael O'Sullivan (politician)""",1,28,24046
"""Vergeletto""",6,28,17220
"""Lasjerd""",2,27,6637
"""Special Higher Police""",48,27,6372
"""Jörg Sievers""",5,27,4200
"""Duellen""",3,27,2881
"""Good Woman Blues""",4,27,1626
"""Alfrocheiro Preto""",6,27,2712
"""Neil Habig""",4,27,2616
"""Besa River Formation""",5,27,3675
"""Illinois Route 153""",3,27,3344
"""2016 AIBA Women's World Boxing Championships – Featherweight""",4,27,3583
"""Valencia CF Foundation""",2,27,5186
"""Atrasado Formation""",4,27,10124
"""Field-Map""",8,27,1470
"""Rudolf Swiderski""",9,27,3301
"""List of ultras of West Asia""",12,27,12721
"""Stade Migovéen""",2,27,1568
"""Vigorous and Liberating Death""",8,26,2890
"""Surendar Valasai""",5,26,3162
"""Kanwar Sanctuary""",5,26,2022
"""Wyn Calvin""",9,26,10313
"""Vicente Sánchez (athlete)""",2,26,3190
"""Daisuke Saito (footballer, born 1974)""",3,26,4464
"""Metaxochori""",1,26,2602
"""Old Gods""",6,26,7499
"""Makera Assada""",8,26,35126
"""Transform (single album)""",1,26,4169
"""Remy Van Lierde""",168,26,12668
"""In Adam's Dress and a Bit in Eve's Too""",17,26,2157
"""Andreea Pricopi""",9,26,2628
"""Wood River Township, Hall County, Nebraska""",2,26,1042
"""Charity Shield""",1,26,634
"""It's My Life""",8,26,2159
"""Kozioł, Lublin Voivodeship""",3,26,1338
"""Willans engine""",5,26,16944
"""United Nations Security Council Resolution 331""",4,26,1382
"""The Love Song (k-os song)""",5,25,1792
"""Aniella Uwimana""",1,25,2111
"""Sverre Petterssen""",6,25,7323
"""Mains Castle, South Lanarkshire""",77,25,1736
"""Debra Satz""",23,25,5093
"""Extraterrestrial (album)""",39,25,10292
"""Podsokołów""",2,25,1462
"""Sainte-Marie-Saint-Raphaël""",5,25,10475
"""Kinleith""",5,25,2647
"""Dean Andal""",2,25,5425
"""Metroplex""",80,25,521
"""Tony Core""",2,25,4463
"""Baldragon Academy""",4,25,6360
"""Szklana Huta, Świętokrzyskie Voivodeship""",2,24,1576
"""De Witt, Nebraska""",9,24,11261
"""Violet Loraine""",6,24,4797
"""Sabine Haas""",8,24,4252
"""Henryków, Mokotów""",7,24,9310
"""Live at The Record Exchange EP""",1,24,2336
"""Kraczewice Rządowe""",2,24,1321
"""John Hart (journalist)""",11,24,3840
"""Concerto Grosso (Zwilich)""",1,24,5654
"""Vilshofen–Aidenbach railway""",1,24,5936
"""Jan Hendrix""",4,24,9169
"""Arlington, California""",10,24,13790
"""Marquis Walker""",4,24,1929
"""Occupation: Rainfall""",192,24,6930
"""Elle, tu l'aimes...""",1,24,6344
"""Tyrone Booze""",18,24,14541
"""Sarah Dawson (softball)""",1,24,14413
"""David Zolkwer""",8,24,20888
"""Tony Sisti""",2,24,8637
"""XEYTM-AM""",3,24,4143
"""John Skibinski""",3,24,5236
"""Anugraham (1977 film)""",2,24,4087
"""Gallions Reach""",18,23,1947
"""On & On (Illy song)""",2,23,2255
"""Empirical evidence for the spherical shape of Earth""",366,23,46482
"""H. M. G. S. Palihakkara""",4,23,11189
"""List of Dutch films of the 1950s""",8,23,3403
"""Il Cuore nel Pozzo""",8,23,25686
"""This Is Me (Dream song)""",42,23,15631
"""Carterton""",9,23,416
"""2002 white supremacist terror plot""",16,23,4792
"""Doctor Manuel Belgrano Department""",8,23,2935
"""John von Berenberg-Gossler""",3,23,2113
"""Rene Anselmo""",26,23,11024
"""Strażnica, Świętokrzyskie Voivodeship""",1,23,1579
"""Tiedonantaja""",8,23,3649
"""Jim Channon""",23,22,8078
"""Deep integration""",6,22,2254
"""American Fugitive: The Truth About Hassan""",2,22,3028
"""Aleph Objects""",6,22,9940
"""Edward Wittig""",8,22,4376
"""Christian de Boissieu""",9,22,4436
"""Arthur Ribeiro""",2,22,2238
"""Nualphan Lamsam""",302,22,5515
"""Volgograd State Medical University""",23,22,5465
"""Laleh (album)""",3,22,8036
"""Greystone Golf & Country Club""",6,22,4833
"""Montmagny, Switzerland""",3,22,17790
"""Gads Forlag""",4,22,6102
"""Four Nationals Figure Skating Championships""",3,22,32219
"""Bayshore Medical Center""",16,22,5199
"""Forest Hill, Ohio""",21,22,2762
"""Sagar Theke Phera""",8,22,2046
"""Benedict Menni""",8,22,9801
"""Something of Time""",4,22,3224
"""Faisal Darwish (footballer, born 1991)""",5,22,3397
"""Gibiate""",42,22,26700
"""Studdards Crossroads, Alabama""",1,22,2191
"""Paul Hardy (illustrator)""",6,21,23749
"""Brachyelytrum""",5,21,4655
"""Don't Tell Me the Truth About Love""",5,21,5924
"""Sustainment Command (Expeditionary)""",9,21,4974
"""The Wonderful Country""",10,21,6240
"""Carolyn Fe""",24,21,13229
"""Committee for Agriculture and Rural Affairs""",31,21,5573
"""Tia Nolan""",66,21,3968
"""191st Infantry Brigade (United States)""",16,21,10099
"""Falcó (novel)""",60,21,3301
"""William Phillips (water polo)""",2,21,1642
"""Bogotá Philharmonic Orchestra""",9,21,2969
"""2014 Anning Open – Women's doubles""",2,21,7369
"""Igor Galo""",19,21,2798
"""Guglielmo della Porta""",13,21,6731
"""Brueelia""",3,21,5672
"""Samir Moussaab""",2,21,1063
"""Adam Gamoran""",2,21,3732
"""Armed Forces Fund Board""",32,21,6059
"""The Conquest of Space""",12,21,3242
"""2014 Formula D season""",8,21,14449
"""Michael Macaque""",2,21,4453
"""Riccardia""",5,20,15551
"""Mir Zaman Khan""",231,20,7360
"""A. K. N. Ahmed""",2,20,2511
"""T2 (company)""",106,20,24755
"""Martin Schwalb""",4,20,3329
"""Stephan Schreckenberger""",3,20,2420
"""Maurice FitzGerald, 6th Duke of Leinster""",14,20,8716
"""1970 Bahraini independence survey""",6,20,4936
"""Viplove Thakur""",25,20,5191
"""Henry Nathaniel Andrews""",2,20,3669
"""Natalya German""",1,20,3201
"""Jamie Ram""",3,20,9312
"""Boesenbergia""",6,20,9348
"""Benjamin Dakota Rogers""",147,20,2686
"""List of orders of battle for the British 1st Armoured Division""",9,20,45785
"""Valarie Zeithaml""",21,20,12361
"""Science Society of China""",3,20,2642
"""Mduduzi Mabaso""",38,20,7339
"""National Order of San Lorenzo""",10,20,4682
"""Stuart Ingle""",5,20,2634
"""Philadelphia Phillies Wall of Fame""",72,20,54458
"""Special Duties""",15,19,6963
"""Olszew, Grójec County""",2,19,1465
"""Pimp-A-Lot""",1,19,1326
"""Annie Miles""",4,19,923
"""2016 Southern Conference softball tournament""",3,19,4241
"""Vincenz Fettmilch""",17,19,3195
"""Bryan Harkin""",4,19,5304
"""Belgrano Department, San Luis""",3,19,2392
"""Diósdi TC""",4,19,1858
"""Svavar Markússon""",1,19,1534
"""Pat Larkin""",1,19,2164
"""Bristol Robotics Laboratory""",10,19,6905
"""William Dumaresq Wright""",6,19,3186
"""Yarrangobilly Caves""",18,19,5729
"""Wybcz""",2,19,1365
"""Masao Oka""",1,19,2518
"""O Saci (film)""",8,19,5804
"""Melissa Leach""",9,19,9161
"""Sebastian Castro-Tello""",7,19,12092
"""2017–18 CB Miraflores season""",2,19,46963
"""Bill McDonald (Australian journalist)""",18,19,5442
"""Gabi Roth""",3,19,3377
"""Francis Hardy (Irish politician)""",4,19,3165
"""William McFee""",10,19,10985
"""ANF Les Mureaux 180""",4,19,4992
"""Nongriat""",20,19,5103
"""Phil Thomas (rugby)""",3,18,7107
"""UP! (Forrest Frank and Connor Price song)""",61,18,5143
"""SNAPAP""",3,18,10561
"""Ron Riley (basketball, born 1950)""",9,18,2761
"""Aagot Raaen""",3,18,4840
"""WorldRiskReport""",7,18,22276
"""Laurence Esmonde, 1st Baron Esmonde""",9,18,9673
"""Rapalje""",15,18,2243
"""Lágrima (Amália Rodrigues album)""",6,18,2061
"""Linda France""",4,18,8718
"""Chervonohryhorivka""",3,18,4379
"""Phascus""",2,18,3958
"""Paul J. Moore""",3,18,2913
"""Faceting machine""",15,18,10615
"""The Quiet Son""",297,18,4506
"""Harry Bates Thayer""",5,18,8850
"""Shag Tobacco""",9,18,2922
"""Hellcats SRTs""",38,18,6132
"""William Quigley (artist)""",11,18,15736
"""Sir Charles Gordon-Cumming-Dunbar, 9th Baronet""",2,18,3114
"""First ladies of Pennsylvania""",3,18,6277
"""2nd Brigade Combat Team, 1st Armored Division (United States)""",12,18,9081
"""Zozimus""",15,18,9807
"""Clarence Edward Mathias""",3,18,2961
"""Rodalben (Verbandsgemeinde)""",4,18,799
"""Pingnan station""",82,18,5509
"""Pedro Ken""",11,18,6900
"""Charles Coppel""",3,18,2729
"""Lokole""",6,18,1564
"""Sing My Song Vietnam""",5,17,15284
"""Mitchell Caverns""",9,17,6684
"""New York school of photography""",19,17,5980
"""2006–07 ABA season""",1,17,11502
"""Josef Richard Rozkošný""",4,17,3269
"""Downton""",4,17,926
"""Alfonso Perugini""",13,17,8786
"""Lord Frederick Paulet""",4,17,3663
"""Louise Mahony""",3,17,2155
"""Ganthiya""",37,17,3354
"""SIS (motorbikes)""",6,17,1516
"""Inni í Dal""",5,17,4693
"""White Wolves: A Cry in the Wild II""",29,17,3673
"""Glossary of education terms (S)""",7,17,12789
"""Somkid Chamnarnsilp""",1,17,3419
"""Face the Facts""",4,17,3093
"""Andrea Grover""",4,16,14832
"""Goudji""",6,16,9121
"""List of countries by access to improved sanitation facilities""",81,16,13912
"""List of Zaragoza CFF seasons""",1,16,5783
"""Benjamin Tod""",119,16,7743
"""EDF1""",2,16,5912
"""Penstemon barnebyi""",1,16,7176
"""Lago do Capanã Grande Extractive Reserve""",4,16,6241
"""Renato Sandalli""",3,16,3496
"""Jumellea recta""",3,16,1755
"""Pothuraju Judson""",3,16,20354
"""Jeff Heathcock""",5,16,5139
"""Alexandrov theorem""",13,16,1203
"""Thomas Jervis (judge)""",2,16,2437
"""Restored Hope Network""",5,16,7454
"""Radio access technology""",82,16,2829
"""John Milton Read""",2,16,9903
"""Guo Liang (cyclist)""",2,16,3323
"""Come On, Cowboys""",4,16,2722
"""Jerry Jaye""",10,16,3253
"""Helen Steel""",28,16,10996
"""Dagfin Huseby""",4,16,1478
"""The Horse Gullfaxi and the Sword Gunnfoder""",7,16,17759
"""Neuronavigation""",14,15,6853
"""Sporolithaceae""",1,15,3701
"""Solun""",11,15,485
"""Epilobium lactiflorum""",5,15,1277
"""Nelson Guarda""",2,15,1636
"""E-corpus""",1,15,4033
"""Alexei Dudchenko""",3,15,6234
"""Arthur Seale""",49,15,9799
"""Cinda Firestone""",4,15,1486
"""Stanford S. Penner""",7,15,9240
"""Prophysaon""",4,15,4915
"""Winands Road Synagogue Center""",78,15,6463
"""Jasmine (song)""",15,15,9168
"""Kawasaki-type oiler""",20,15,31901
"""2021 Youngstown State Penguins baseball team""",6,15,28451
"""Luis Ceze""",99,15,9935
"""Mary Noyes Farr""",1,15,8688
"""McNeal (play)""",210,15,3099
"""Rami Ollaik""",4,15,20059
"""Rose Clark""",8,15,8085
"""Terence Verity""",3,15,6677
"""Quentin Bena""",5,15,12293
"""2006 Gaven state by-election""",4,15,6550
"""2024 Nigerian general strike""",336,15,32893
"""Hussein al-Sheikh""",42,15,4047
"""Partička""",5,15,3012
"""Sanjiangyuan""",22,15,16490
"""Jan Boye""",1,15,3819
"""Hazlebadge""",4,14,23514
"""Vesleskarvet""",9,14,1598
"""Safa Merve Nalçacı""",1,14,11696
"""Mickel""",2,14,402
"""Ever, Jane""",5,14,9950
"""Rolando Marchinares""",1,14,1531
"""Raymond Mason""",4,14,232
"""Mark Smith (fencer)""",1,14,2262
"""It Had to Be You (2016 film)""",31,14,11270
"""David Fowler (politician)""",3,14,5011
"""Vladimir Pozner""",1,14,313
"""2014 Giro del Trentino Alto Adige-Südtirol""",3,14,2938
"""Complete manifold""",7,14,4462
"""Aasia Ishaque""",2,14,6073
"""Who's to Know""",11,14,3023
"""Franciszek Jerzy Jaskulski""",3,14,6996
"""Maria Markesini""",2,14,3118
"""Pablo Sanz (footballer, born 1973)""",2,14,6507
"""Jipijapa""",8,14,383
"""Turgot""",2,14,534
"""Pseuderia""",1,14,2764
"""Colchester Village Historic District""",2,14,4543
"""Alexander Hill (minister)""",1,14,3942
"""Glide High School""",2,14,4913
"""Casey King""",8,14,8207
"""St Mary's Church, Brecon""",3,14,5474
"""Bluebird Garage""",18,14,4154
"""Andrea Capobianco""",1,14,893
"""Pseudanabaenaceae""",6,13,2134
"""Pierre Clergerie""",1,13,2130
"""Konrad the Curly""",7,13,3046
"""Sarfaraz Ashraf""",5,13,2039
"""Davide Gaiotto""",10,13,3190
"""Mar Mar Aye""",5,13,8792
"""Regiminis Apostolici""",2,13,3897
"""First Partition""",2,13,418
"""The Lucky Nine""",9,13,1340
"""Guy of Ibelin""",4,13,438
"""Gregoris Mentzas""",2,13,3785
"""St Teilo's Church, Llandeilo Tal-y-bont""",14,13,4618
"""Diffuse idiopathic pulmonary neuroendocrine cell hyperplasia""",19,13,11522
"""Paul Bibire""",3,13,2252
"""Theosebia""",50,13,4017
"""NES Financial""",3,13,4820
"""American Bell Association International""",8,13,6648
"""Marcantonio Bobba""",2,13,4949
"""Piedmont Geriatric Hospital""",2,13,10343
"""Strzeszyce""",1,13,1506
"""Brian Peterson""",2,13,359
"""Tea and toast syndrome""",92,13,14824
"""Lee Chang-seon""",1,13,1308
"""Álvaro Antón (footballer, born 1983)""",1,13,9896
"""Elijah Johnson (singer)""",105,13,5624
"""Sun Hwa""",2,13,274
"""Que Sera (film)""",12,13,3935
"""David Harris Davies""",2,13,4148
